freq_hz,mag,phase_deg
1000.0,0.011644,-175.73
1200.0,0.010101,92.9
1400.0,0.02533,59.42
1600.0,0.046365,53.31
1800.0,0.068872,52.38
2000.0,0.091053,49.78
2200.0,0.112651,48.52
2400.0,0.134255,47.29
2600.0,0.153975,46.61
2800.0,0.173081,46.12
3000.0,0.195574,45.35
3200.0,0.213237,43.99
3400.0,0.232359,42.92
3600.0,0.251225,41.86
3800.0,0.270508,41.18
3999.0,0.287558,40.22
4200.0,0.304725,39.35
4400.0,0.324344,38.2
4600.0,0.340265,37.1
4799.0,0.358387,36.24
5000.0,0.37716,35.06
5200.0,0.392981,34.13
5401.0,0.411159,33.06
5601.0,0.426826,32.12
5799.0,0.444475,30.87
5999.0,0.460346,29.64
6199.0,0.476958,28.77
6401.0,0.495688,27.48
6601.0,0.507843,26.37
6800.0,0.526464,25.12
7001.0,0.541344,24.07
7199.0,0.555843,22.82
7400.0,0.573265,21.43
7601.0,0.585913,20.44
7799.0,0.602924,19.07
7999.0,0.615154,17.98
8199.0,0.63109,16.73
8400.0,0.645602,15.55
8599.0,0.659541,14.36
8797.0,0.673533,12.99
8999.0,0.684893,11.97
9197.0,0.700511,10.49
9398.0,0.710919,9.32
9602.0,0.724472,8.08
9800.0,0.736728,6.88
10000.0,0.749498,5.63
10200.0,0.760205,4.35
10401.0,0.770656,3.25
10601.0,0.783513,1.88
10801.0,0.79024,0.78
11000.0,0.80079,-0.68
11197.0,0.809672,-1.75
11401.0,0.820073,-3.1
11603.0,0.828294,-4.34
11803.0,0.835953,-5.5
11998.0,0.844096,-6.88
12201.0,0.849701,-7.83
12399.0,0.857719,-9.22
12603.0,0.863859,-10.43
12803.0,0.870405,-11.68
12996.0,0.875381,-12.81
13196.0,0.880858,-13.97
13402.0,0.886834,-15.24
13600.0,0.8888,-16.35
13805.0,0.893709,-17.63
14002.0,0.89726,-18.73
14205.0,0.900471,-19.99
14398.0,0.902796,-21.05
14597.0,0.905313,-22.08
14801.0,0.907275,-23.36
14995.0,0.908926,-24.41
15193.0,0.910286,-25.37
15398.0,0.911869,-26.59
15607.0,0.912564,-27.68
15805.0,0.912084,-28.82
16007.0,0.911358,-29.8
16196.0,0.911403,-30.68
16408.0,0.910828,-31.88
16606.0,0.909283,-32.88
16809.0,0.908011,-33.76
16996.0,0.90774,-34.7
17209.0,0.907088,-35.75
17405.0,0.905394,-36.55
17606.0,0.902258,-37.54
17811.0,0.899124,-38.53
17997.0,0.897655,-39.22
18212.0,0.894311,-40.12
18407.0,0.890664,-40.97
18606.0,0.888559,-41.74
18810.0,0.885943,-42.52
18992.0,0.882718,-43.28
19204.0,0.879848,-44.1
19394.0,0.877777,-44.68
19587.0,0.87351,-45.88
19813.0,0.86731,-46.71
19985.0,0.863922,-47.31
20191.0,0.861158,-48.0
20401.0,0.857156,-48.75
20615.0,0.852296,-49.51
20802.0,0.848308,-50.06
20992.0,0.844159,-50.73
21186.0,0.84036,-51.44
21384.0,0.835686,-52.09
21586.0,0.831207,-52.68
21791.0,0.827529,-53.35
22000.0,0.824021,-54.06
22213.0,0.819002,-54.76
22394.0,0.813903,-55.25
22615.0,0.8076,-55.89
