R_ohm,L_H,C_F,f0_Hz,Q,BW_Hz
1000.0,0.001,1e-08,50329.21210448704,0.31622776601683794,159154.94309189534
1000.0,0.001,1.1e-08,47987.02088783482,0.30151134457776363,159154.94309189534
1000.0,0.001,1.2e-08,45944.07461848267,0.28867513459481287,159154.94309189534
1000.0,0.001,1.3e-08,44141.63908164476,0.2773500981126146,159154.94309189534
1000.0,0.001,1.5e-08,41093.62960409999,0.25819888974716115,159154.94309189531
1000.0,0.001,1.6e-08,39788.73577297383,0.25,159154.94309189531
1000.0,0.001,1.8e-08,37513.17983987942,0.23570226039551584,159154.94309189534
1000.0,0.001,2e-08,35588.12717085885,0.22360679774997896,159154.94309189531
1000.0,0.001,2.2e-08,33931.9478787285,0.21320071635561044,159154.94309189531
1000.0,0.001,2.4e-08,32487.36671806984,0.20412414523193148,159154.94309189537
1000.0,0.001,2.7e-08,30629.38307898845,0.19245008972987526,159154.94309189534
1000.0,0.001,3e-08,29057.584156627363,0.18257418583505539,159154.94309189534
1000.0,0.001,3.3e-08,27705.31942719963,0.17407765595569785,159154.94309189534
1000.0,0.001,3.6e-08,26525.823848649223,0.16666666666666669,159154.94309189531
1000.0,0.001,3.9e-08,25485.187206258906,0.16012815380508716,159154.94309189531
1000.0,0.001,4.3e-08,24270.901282881096,0.15249857033260467,159154.94309189534
1000.0,0.001,4.7e-08,23215.134420947208,0.14586499149789456,159154.94309189534
1000.0,0.001,5.1e-08,22286.149708619232,0.140028008402801,159154.94309189531
1000.0,0.001,5.6e-08,21267.973873620587,0.1336306209562122,159154.94309189531
1000.0,0.001,6.2e-08,20212.6979853788,0.1270001270001905,159154.94309189534
1000.0,0.001,6.8e-08,19300.37180020742,0.1212678125181665,159154.94309189531
1000.0,0.001,7.5e-08,18377.62984739307,0.11547005383792515,159154.94309189534
1000.0,0.001,8.2e-08,17575.723247993355,0.11043152607484655,159154.94309189531
1000.0,0.001,9.1e-08,16683.97135325737,0.10482848367219183,159154.94309189534
1000.0,0.001,1e-07,15915.494309189533,0.1,159154.94309189531
1000.0,0.0011,1e-08,47987.02088783482,0.33166247903554,144686.31190172303
1000.0,0.0011,1.1e-08,45753.8291858973,0.31622776601683794,144686.31190172303
1000.0,0.0011,1.2e-08,43805.956346231185,0.3027650354097492,144686.311901723
1000.0,0.0011,1.3e-08,42087.40149232944,0.2908872369413698,144686.311901723
1000.0,0.0011,1.5e-08,39181.2384838245,0.27080128015453203,144686.31190172303
1000.0,0.0011,1.6e-08,37937.07103290835,0.2622022120425379,144686.311901723
1000.0,0.0011,1.8e-08,35767.41358096699,0.2472066162365221,144686.31190172306
1000.0,0.0011,2e-08,33931.9478787285,0.2345207879911715,144686.31190172303
1000.0,0.0011,2.2e-08,32352.84288259896,0.223606797749979,144686.31190172303
1000.0,0.0011,2.4e-08,30975.48878878195,0.21408720964441882,144686.31190172303
1000.0,0.0011,2.7e-08,29203.970897487452,0.20184335693983277,144686.311901723
1000.0,0.0011,3e-08,27705.31942719963,0.19148542155126763,144686.31190172303
1000.0,0.0011,3.3e-08,26415.985596933966,0.18257418583505539,144686.31190172303
1000.0,0.0011,3.6e-08,25291.380688605575,0.17480147469502527,144686.31190172306
1000.0,0.0011,3.9e-08,24299.17258108826,0.1679438245519263,144686.31190172303
1000.0,0.0011,4.3e-08,23141.396380499977,0.15994184989813393,144686.31190172306
1000.0,0.0011,4.7e-08,22134.7621746808,0.15298449372125575,144686.31190172303
1000.0,0.0011,5.1e-08,21249.010005494994,0.146862614204502,144686.31190172303
1000.0,0.0011,5.6e-08,20278.217437549898,0.140152977645347,144686.31190172306
1000.0,0.0011,6.2e-08,19272.051356778436,0.13319885691653277,144686.311901723
1000.0,0.0011,6.8e-08,18402.18247002838,0.12718675476729208,144686.31190172303
1000.0,0.0011,7.5e-08,17522.382538492475,0.12110601416389967,144686.31190172303
1000.0,0.0011,8.2e-08,16757.7945958957,0.11582156166423187,144686.31190172303
1000.0,0.0011,9.1e-08,15907.542525376062,0.10994504121565506,144686.31190172303
1000.0,0.0011,1e-07,15174.828413163343,0.10488088481701516,144686.31190172303
1000.0,0.0012,1e-08,45944.07461848267,0.34641016151377546,132629.11924324612
1000.0,0.0012,1.1e-08,43805.95634623119,0.3302891295379082,132629.11924324612
1000.0,0.0012,1.2e-08,41941.01008707253,0.3162277660168379,132629.11924324612
1000.0,0.0012,1.3e-08,40295.619083780766,0.30382181012509996,132629.11924324612
1000.0,0.0012,1.5e-08,37513.17983987942,0.282842712474619,132629.11924324612
1000.0,0.0012,1.6e-08,36321.98019578421,0.27386127875258304,132629.11924324615
1000.0,0.0012,1.8e-08,34244.691336749995,0.25819888974716115,132629.11924324612
1000.0,0.0012,2e-08,32487.36671806984,0.2449489742783178,132629.11924324612
1000.0,0.0012,2.2e-08,30975.48878878195,0.23354968324845687,132629.11924324612
1000.0,0.0012,2.4e-08,29656.772642382384,0.22360679774997896,132629.11924324615
1000.0,0.0012,2.7e-08,27960.673391381686,0.21081851067789192,132629.11924324612
1000.0,0.0012,3e-08,26525.82384864923,0.2,132629.11924324615
1000.0,0.0012,3.3e-08,25291.380688605575,0.19069251784911845,132629.11924324615
1000.0,0.0012,3.6e-08,24214.653463856135,0.18257418583505539,132629.1192432461
1000.0,0.0012,3.9e-08,23264.686525183446,0.17541160386140583,132629.11924324612
1000.0,0.0012,4.3e-08,22156.200206025085,0.16705381391691135,132629.11924324612
1000.0,0.0012,4.7e-08,21192.42132977903,0.15978709238739222,132629.11924324612
1000.0,0.0012,5.1e-08,20344.378192246568,0.15339299776947407,132629.11924324615
1000.0,0.0012,5.6e-08,19414.91507168754,0.14638501094227996,132629.11924324615
1000.0,0.0012,6.2e-08,18451.584391051994,0.13912166872805048,132629.11924324612
1000.0,0.0012,6.8e-08,17618.74833868366,0.1328422328310143,132629.11924324612
1000.0,0.0012,7.5e-08,16776.404034829015,0.12649110640673517,132629.11924324615
1000.0,0.0012,8.2e-08,16044.366812323211,0.12097167578182676,132629.11924324612
1000.0,0.0012,9.1e-08,15230.312431581757,0.11483385035264292,132629.11924324612
1000.0,0.0012,1e-07,14528.792078313683,0.10954451150103323,132629.11924324612
1000.0,0.0013,1e-08,44141.63908164476,0.3605551275463989,122426.87930145797
1000.0,0.0013,1.1e-08,42087.401492329445,0.3437758254761643,122426.87930145796
1000.0,0.0013,1.2e-08,40295.619083780766,0.32914029430219166,122426.87930145796
1000.0,0.0013,1.3e-08,38714.7785419131,0.3162277660168379,122426.87930145797
1000.0,0.0013,1.5e-08,36041.497386708645,0.2943920288775949,122426.87930145799
1000.0,0.0013,1.6e-08,34897.029787775165,0.28504385627478446,122426.87930145796
1000.0,0.0013,1.8e-08,32901.23520827303,0.26874192494328497,122426.87930145799
1000.0,0.0013,2e-08,31212.852327320135,0.2549509756796392,122426.87930145797
1000.0,0.0013,2.2e-08,29760.28699774697,0.24308621740219888,122426.87930145796
1000.0,0.0013,2.4e-08,28493.305506251436,0.2327373340628157,122426.87930145796
1000.0,0.0013,2.7e-08,26863.746055853848,0.21942686286812776,122426.87930145797
1000.0,0.0013,3e-08,25485.187206258906,0.20816659994661327,122426.87930145796
1000.0,0.0013,3.3e-08,24299.172581088264,0.19847906537954926,122426.87930145797
1000.0,0.0013,3.6e-08,23264.686525183446,0.19002923751652298,122426.87930145796
1000.0,0.0013,3.9e-08,22351.98781279028,0.18257418583505539,122426.87930145796
1000.0,0.0013,4.3e-08,21286.988605960127,0.1738751222559883,122426.87930145796
1000.0,0.0013,4.7e-08,20361.019813182393,0.16631167868819408,122426.87930145796
1000.0,0.0013,5.1e-08,19546.24632142151,0.15965649400644927,122426.87930145796
1000.0,0.0013,5.6e-08,18653.24704027132,0.152362350055011,122426.87930145796
1000.0,0.0013,6.2e-08,17727.70885990751,0.14480242379008673,122426.87930145794
1000.0,0.0013,6.8e-08,16927.545862979165,0.13826657968874304,122426.87930145797
1000.0,0.0013,7.5e-08,16118.247633512308,0.13165611772087665,122426.87930145797
1000.0,0.0013,8.2e-08,15414.929019773563,0.12591131218673468,122426.87930145799
1000.0,0.0013,9.1e-08,14632.810869263127,0.11952286093343936,122426.87930145797
1000.0,0.0013,1e-07,13958.81191511007,0.11401754250991379,122426.87930145797
1000.0,0.0015,1e-08,41093.62960409999,0.3872983346207417,106103.29539459689
1000.0,0.0015,1.1e-08,39181.2384838245,0.3692744729379982,106103.29539459689
1000.0,0.0015,1.2e-08,37513.17983987942,0.3535533905932738,106103.29539459689
1000.0,0.0015,1.3e-08,36041.49738670863,0.3396831102433787,106103.29539459688
1000.0,0.0015,1.5e-08,33552.80806965803,0.31622776601683794,106103.2953945969
1000.0,0.0015,1.6e-08,32487.36671806984,0.30618621784789724,106103.2953945969
1000.0,0.0015,1.8e-08,30629.38307898845,0.2886751345948129,106103.29539459688
1000.0,0.0015,2e-08,29057.584156627363,0.2738612787525831,106103.29539459688
1000.0,0.0015,2.2e-08,27705.31942719963,0.26111648393354675,106103.2953945969
1000.0,0.0015,2.4e-08,26525.823848649223,0.25,106103.29539459689
1000.0,0.0015,2.7e-08,25008.786559919612,0.23570226039551584,106103.29539459689
1000.0,0.0015,3e-08,23725.418113905904,0.223606797749979,106103.29539459689
1000.0,0.0015,3.3e-08,22621.298585819,0.21320071635561044,106103.29539459689
1000.0,0.0015,3.6e-08,21658.244478713226,0.2041241452319315,106103.29539459689
1000.0,0.0015,3.9e-08,20808.568218213422,0.19611613513818404,106103.29539459688
1000.0,0.0015,4.3e-08,19817.107913506778,0.1867718419094071,106103.29539459692
1000.0,0.0015,4.7e-08,18955.077880480956,0.1786474002526241,106103.29539459688
1000.0,0.0015,5.1e-08,18196.565039131037,0.17149858514250882,106103.29539459688
1000.0,0.0015,5.6e-08,17365.227951071418,0.1636634176769943,106103.2953945969
1000.0,0.0015,6.2e-08,16503.598796386526,0.15554275420956382,106103.29539459688
1000.0,0.0015,6.8e-08,15758.687585503261,0.14852213144650117,106103.29539459689
1000.0,0.0015,7.5e-08,15005.271935951769,0.1414213562373095,106103.29539459689
1000.0,0.0015,8.2e-08,14350.517939318523,0.13525044520011487,106103.29539459686
1000.0,0.0015,9.1e-08,13622.405566230771,0.12838814775327387,106103.2953945969
1000.0,0.0015,1e-07,12994.946687227935,0.12247448713915891,106103.29539459689
1000.0,0.0016,1e-08,39788.735772973836,0.4,99471.83943243459
1000.0,0.0016,1.1e-08,37937.07103290836,0.38138503569823695,99471.83943243459
1000.0,0.0016,1.2e-08,36321.9801957842,0.36514837167011077,99471.83943243457
1000.0,0.0016,1.3e-08,34897.029787775165,0.35082320772281167,99471.83943243459
1000.0,0.0016,1.5e-08,32487.36671806984,0.32659863237109044,99471.83943243459
1000.0,0.0016,1.6e-08,31455.757565304393,0.31622776601683794,99471.83943243457
1000.0,0.0016,1.8e-08,29656.772642382377,0.29814239699997197,99471.83943243459
1000.0,0.0016,2e-08,28134.88487990957,0.282842712474619,99471.8394324346
1000.0,0.0016,2.2e-08,26825.560185725237,0.26967994498529685,99471.83943243457
1000.0,0.0016,2.4e-08,25683.51850256249,0.25819888974716115,99471.83943243456
1000.0,0.0016,2.7e-08,24214.653463856135,0.24343224778007383,99471.83943243459
1000.0,0.0016,3e-08,22972.037309241336,0.23094010767585033,99471.83943243457
1000.0,0.0016,3.3e-08,21902.978173115593,0.22019275302527214,99471.83943243457
1000.0,0.0016,3.6e-08,20970.505043536265,0.21081851067789195,99471.83943243459
1000.0,0.0016,3.9e-08,20147.809541890383,0.20254787341673333,99471.83943243459
1000.0,0.0016,4.3e-08,19187.832229751737,0.19289712886816485,99471.83943243459
1000.0,0.0016,4.7e-08,18353.17523929183,0.18450624160577703,99471.83943243457
1000.0,0.0016,5.1e-08,17618.748338683657,0.17712297710801905,99471.83943243459
1000.0,0.0016,5.6e-08,16813.80966439878,0.16903085094570333,99471.83943243456
1000.0,0.0016,6.2e-08,15979.540822723447,0.16064386578049977,99471.83943243459
1000.0,0.0016,6.8e-08,15258.283644184921,0.1533929977694741,99471.83943243457
1000.0,0.0016,7.5e-08,14528.792078313681,0.1460593486680443,99471.8394324346
1000.0,0.0016,8.2e-08,13894.829247107855,0.13968605915391563,99471.83943243459
1000.0,0.0016,9.1e-08,13189.837473323747,0.13259870882635919,99471.83943243459
1000.0,0.0016,1e-07,12582.303026121761,0.1264911064067352,99471.83943243459
1000.0,0.0018,1e-08,37513.17983987942,0.4242640687119285,88419.41282883074
1000.0,0.0018,1.1e-08,35767.41358096699,0.4045199174779453,88419.41282883074
1000.0,0.0018,1.2e-08,34244.691336749995,0.3872983346207417,88419.41282883075
1000.0,0.0018,1.3e-08,32901.23520827303,0.3721042037676253,88419.41282883077
1000.0,0.0018,1.5e-08,30629.38307898845,0.3464101615137755,88419.41282883073
1000.0,0.0018,1.6e-08,29656.772642382377,0.3354101966249684,88419.41282883075
1000.0,0.0018,1.8e-08,27960.673391381686,0.31622776601683794,88419.41282883074
1000.0,0.0018,2e-08,26525.823848649223,0.3,88419.41282883074
